game_id,team,margin,players
0022201216,BOS,6.0,201933;203488;1627763;1628401;1628436;1629662;1629684;1630202;1630551;1630573;1631120
0022201206,BOS,19.0,201143;201933;203488;1628369;1628401;1628436;1629057;1629662;1629684;1630202;1630551;1630573;1631120
0022201192,BOS,4.0,201933;203488;1627759;1627763;1628401;1628436;1629057;1629662;1629684;1630573;1631120
0022201181,BOS,-2.0,201143;201933;203488;203935;1627763;1628369;1628401;1628436;1629662;1629684;1630573;1631120
0022201152,BOS,8.0,201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022201146,BOS,41.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630573
0022201130,BOS,-19.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022201116,BOS,44.0,201143;201933;203488;203935;1627759;1627763;1628401;1628436;1629057;1629662;1629684;1630573;1631120
0022201097,BOS,25.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629662;1629684;1630573;1631120
0022201081,BOS,23.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630573
0022201062,BOS,-1.0,201143;201933;203488;1627759;1627763;1628369;1628401;1628436;1629684;1630573;1631120
0022201053,BOS,14.0,201143;201933;203488;203935;1627759;1628369;1628401;1628436;1629684;1630573;1631120
0022201039,BOS,2.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629684;1630573;1631120
0022201024,BOS,-2.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629684;1630573;1631120
0022201008,BOS,9.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629684;1630573;1631120
0022200986,BOS,22.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629684;1630573;1631120
0022200971,BOS,-4.0,201143;201933;203488;203935;1627759;1627763;1628401;1628436;1629684;1630202;1630573
0022200969,BOS,-2.0,201143;201933;203488;203935;1627759;1628369;1628401;1628436;1629684;1630202;1630573
0022200948,BOS,-10.0,201143;201933;203488;203935;1627759;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200935,BOS,4.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200921,BOS,-15.0,201143;201933;203488;203935;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200908,BOS,3.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200887,BOS,4.0,201143;201933;203488;203935;1627759;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200877,BOS,18.0,201143;201933;203935;1627763;1628369;1628401;1628436;1629684;1630202;1630573;1631120
0022200869,BOS,-6.0,201933;203488;1627763;1628401;1628436;1629057;1629662;1629684;1630202;1630573;1631120
0022200855,BOS,10.0,201143;201933;203488;1628369;1628401;1628436;1629057;1629662;1629684;1630202;1630573;1631120
0022200838,BOS,11.0,201143;201933;203488;1627763;1628369;1628401;1628436;1629057;1629684;1630202;1630573
0022200824,BOS,7.0,201933;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200808,BOS,12.0,201143;201933;1627763;1628369;1628382;1628401;1629057;1629662;1629684;1630202;1630573
0022200788,BOS,-12.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200772,BOS,43.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200749,BOS,4.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200730,BOS,-3.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200714,BOS,-3.0,201933;1628369;1628382;1628401;1628436;1629057;1629662;1629684;1630202;1630573;1631120
0022200707,BOS,-15.0,201143;201933;1627759;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200692,BOS,2.0,201143;201933;203935;1627759;1627763;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200679,BOS,3.0,201143;201933;203935;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629662;1629684;1630202;1630573;1631120
0022200656,BOS,12.0,201143;201933;203935;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573;1631120
0022200642,BOS,16.0,201143;201933;203935;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573;1631120
0022200627,BOS,11.0,201933;203935;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200621,BOS,11.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200606,BOS,8.0,201143;201933;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200591,BOS,5.0,201143;201933;203935;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200577,BOS,29.0,201143;201933;203935;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200562,BOS,-33.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200549,BOS,-12.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200525,BOS,6.0,201143;203935;203943;1627759;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200507,BOS,24.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630573
0022200495,BOS,21.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629662;1629684;1630202;1630573
0022200482,BOS,12.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200469,BOS,-5.0,201143;201933;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200445,BOS,-3.0,201143;201933;203935;203943;1627759;1627763;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200430,BOS,-8.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573;1631120
0022200413,BOS,4.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200408,BOS,-20.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200392,BOS,-16.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200373,BOS,27.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200355,BOS,6.0,201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200346,BOS,11.0,201143;201933;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200328,BOS,-4.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200314,BOS,13.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200301,BOS,35.0,201933;203935;203943;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200294,BOS,9.0,201143;201933;203935;203943;1627759;1627763;1628382;1628401;1628436;1629684;1630202;1630573
0022200275,BOS,18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200264,BOS,13.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200250,BOS,-14.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200231,BOS,8.0,201143;201933;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200214,BOS,25.0,201143;201933;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573;1631120
0022200201,BOS,4.0,201143;201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200186,BOS,9.0,201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200176,BOS,19.0,201143;201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573;1631120
0022200163,BOS,16.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200152,BOS,3.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1629662;1629684;1630202;1630573
0022200135,BOS,15.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200124,BOS,4.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200107,BOS,-1.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200089,BOS,18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200072,BOS,-9.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200047,BOS,-18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200030,BOS,6.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200022,BOS,7.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200001,BOS,9.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
